id,Weighted Average,StateAbbr
1,11.97311163,AL
2,8.535062845,AK
4,9.684607568,AZ
5,10.90629487,AR
6,10.66807638,CA
8,7.376602308,CO
9,8.700969354,CT
10,10.11715983,DE
11,8.4,DC
13,11.55244357,GA
15,8.940774637,HI
16,9.141898857,ID
17,9.766303883,IL
18,10.66627217,IN
19,8.566318246,IA
20,10.00118235,KS
21,10.84199684,KY
22,12.16573101,LA
23,8.08609536,ME
24,9.955690108,MD
25,8.128137794,MA
26,9.31738985,MI
27,8.138184967,MN
28,12.8449224,MS
29,10.09904846,MO
30,8.058932907,MT
31,8.840559263,NE
32,10.5011743,NV
33,7.432083122,NH
34,9.208399677,NJ
35,11.47302598,NM
36,10.30253294,NY
37,10.56012122,NC
38,8.73128597,ND
39,10.80360619,OH
40,11.45543878,OK
41,8.595291057,OR
42,9.041950883,PA
44,8.914574347,RI
45,11.26165249,SC
46,8.998778502,SD
47,11.43854925,TN
48,11.76458367,TX
49,8.835118298,UT
50,7.103653051,VT
51,9.920793532,VA
53,8.362602298,WA
54,11.85513896,WV
55,8.061937839,WI
56,8.27909997,WY
